tag,vernacular_name,scientific_name
LOWA,,Parkesia motacilla
HOWA,,Setophaga citrina
BRCR,,Certhia americana
AMGO,,Carduelis tristis
BAOR,,Icterus galbula
NOCA,,Cardinalis cardinalis
BAWW,,Mniotilta varia
BHVI,,Vireo solitarius
CSWA,,Dendroica pensylvanica
BCCH,,Poecile atricapillus
BTNW,,Setophaga virens
BHCO,,Molothrus ater
RCKI,,Regulus calendula
WITU,,Meleagris gallopavo
BWWA,,Vermivora leucobronchialis
CARW,,Thryothorus ludovicianus
EAWP,,Contopus virens
RSHA,,Buteo lineatus
WBNU,,Sitta carolinensis carolinensis
NAWA,,Leiothlypis ruficapilla
SMLO,,Calcarius pictus 
